rank,soft_conflict_pairs,avg_city_entropy,strength_balance_std,final_score
371,0.0,2.0,13.0647,173.8705
372,0.0,2.0,13.0934,173.8132
373,0.0,2.0,13.0982,173.8036
374,0.0,2.0,13.1125,173.775
375,0.0,2.0,13.1173,173.7655
376,0.0,2.0,13.1173,173.7655
377,0.0,2.0,13.1411,173.7179
378,0.0,2.0,13.1458,173.7084
379,0.0,2.0,13.1506,173.6989
380,0.0,2.0,13.1791,173.6419
381,0.0,2.0,13.2122,173.5756
382,0.0,2.0,13.25,173.5
383,0.0,2.0,13.2689,173.4623
384,0.0,2.0,13.2924,173.4152
385,0.0,2.0,13.442,173.116
386,0.0,2.0,13.4467,173.1067
387,0.0,2.0,13.4513,173.0974
388,0.0,2.0,13.4652,173.0695
389,0.0,2.0,13.4977,173.0046
390,0.0,2.0,13.5162,172.9676
391,0.0,2.0,13.5254,172.9491
392,0.0,2.0,13.5624,172.8753
393,0.0,2.0,13.567,172.8661
394,0.0,2.0,13.5992,172.8017
395,0.0,2.0,13.6175,172.7649
396,0.0,2.0,13.6267,172.7466
397,0.0,2.0,13.6359,172.7282
398,0.0,2.0,13.6405,172.7191
399,0.0,2.0,13.6542,172.6916
400,0.0,2.0,13.6953,172.6093
401,0.0,2.0,13.6999,172.6002
402,0.0,2.0,13.7273,172.5455
403,0.0,2.0,13.7318,172.5364
404,0.0,2.0,13.7455,172.5091
405,0.0,2.0,13.75,172.5
406,0.0,2.0,13.7545,172.4909
407,0.0,2.0,13.7727,172.4546
408,0.0,2.0,13.7727,172.4546
409,0.0,2.0,13.7818,172.4364
410,0.0,2.0,13.7818,172.4364
411,0.0,2.0,13.7999,172.4002
412,0.0,2.0,13.809,172.3821
413,0.0,2.0,13.8271,172.3459
414,0.0,2.0,13.8767,172.2466
415,0.0,2.0,13.8947,172.2106
416,0.0,2.0,13.9037,172.1926
417,0.0,2.0,13.962,172.076
418,0.0,2.0,13.962,172.076
419,0.0,2.0,13.9844,172.0313
420,0.0,2.0,13.9888,172.0223
421,0.0,2.0,14.0557,171.8886
422,0.0,2.0,14.0823,171.8353
423,0.0,2.0,14.1399,171.7201
424,0.0,2.0,14.1576,171.6848
425,0.0,2.0,14.1708,171.6583
426,0.0,2.0,14.2193,171.5615
427,0.0,2.0,14.2588,171.4825
428,0.0,2.0,14.2938,171.4124
429,0.0,2.0,14.3113,171.3775
430,0.0,2.0,14.381,171.238
431,0.0,2.0,14.4027,171.1946
432,0.0,2.0,14.4157,171.1686
433,0.0,2.0,14.4417,171.1166
434,0.0,2.0,14.446,171.108
435,0.0,2.0,14.446,171.108
436,0.0,2.0,14.472,171.0561
437,0.0,2.0,14.5581,170.8839
438,0.0,2.0,14.7373,170.5254
439,0.0,2.0,14.7458,170.5085
440,0.0,2.0,14.7627,170.4746
441,0.0,2.0,14.8429,170.3141
442,0.0,2.0,14.9185,170.1629
443,0.0,2.0,15.0437,169.9126
444,0.0,2.0,15.1307,169.7386
445,0.0,2.0,15.3358,169.3284
446,0.0,2.0,17.3943,165.2114
447,1.0,1.9688,9.4108,163.0535
448,1.0,1.9688,10.115,161.6451
449,1.0,1.9688,10.115,161.6451
450,1.0,1.9688,12.3668,157.1414
